"method","algorithm","l1_error","fro_error","max_abs_error","rep","n","R","factor_type","weight_type","p","fiber_l1_max","slice_l1_max","experiment","p_scalar","sample_multiplier","hetero_strength","alpha_profile","normalized_fiber_l1_max","normalized_slice_l1_max","normalized_l1","normalized_fro"
"unscaled","no_thinning",0.188079662762794,0.00275425814302277,0.000457944256548954,1,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0202604483845867,0.131431856684951,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,18.234403546128,3.94295570054852,1.71692456505245,0.96749809860444
"unscaled","thinning",0.339352640567388,0.00462973871004709,0.000599357805391093,1,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0202604483845867,0.131431856684951,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,18.234403546128,3.94295570054852,3.09785160312835,1.62630485829843
"unscaled","no_thinning",0.169356089319901,0.00284217137869294,0.000739600615247309,2,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.01876282333666,0.107779012403587,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,16.886541002994,3.23337037210761,1.54600250618949,1.03745954642576
"unscaled","thinning",0.295064401116047,0.00470230929435918,0.000642266525647519,2,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.01876282333666,0.107779012403587,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,16.886541002994,3.23337037210761,2.69355714013353,1.71645373120428
"unscaled","no_thinning",0.151319826417752,0.00227727331253844,0.000322876846943386,3,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0173437129020088,0.0989986857755223,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,15.6093416118079,2.96996057326567,1.38135470544615,0.864597793924463
"unscaled","thinning",0.302196311318306,0.00450525823628637,0.000656831827715895,3,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0173437129020088,0.0989986857755223,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,15.6093416118079,2.96996057326567,2.75866227506483,1.7104825805082
"unscaled","no_thinning",0.17397101302291,0.00254048943961866,0.000334660848337457,4,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0145029135962179,0.104809939774529,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,13.0526222365961,3.14429819323587,1.58813080307788,1.05477485620427
"unscaled","thinning",0.351906395790254,0.00489102430529158,0.000608649808689632,4,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0145029135962179,0.104809939774529,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,13.0526222365961,3.14429819323587,3.21245118507772,2.03068329190924
"unscaled","no_thinning",0.1859540396877,0.00257430337563745,0.00032160633469899,5,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0159919832532675,0.11881627071037,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,14.3927849279408,3.56448812131111,1.69752036993607,1.01783778097381
"unscaled","thinning",0.320746601462696,0.00430597280319154,0.000562728319093654,5,10000,4,"dense_heteroskedastic","balanced","30x30x30",0.0159919832532675,0.11881627071037,"unscaled_thinning_comparison",30,83.3333333333333,50,0.8,14.3927849279408,3.56448812131111,2.92800248107063,1.70251177247079
