"method","algorithm","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"unscaled","no_thinning",10000,83.3333333333333,50,30,"fro_error",0.00263739136600188,0.000447132225523164,8.16348020355081e-05
"unscaled","no_thinning",30000,250,50,30,"fro_error",0.00153317106520528,0.000194562213960143,3.55220378080389e-05
"unscaled","no_thinning",100000,833.333333333333,50,30,"fro_error",0.00085386578440337,0.000115054391095391,2.10059617809891e-05
"unscaled","no_thinning",300000,2500,50,30,"fro_error",0.000486344860134519,6.54929587749496e-05,1.19573236262653e-05
"unscaled","no_thinning",1000000,8333.33333333333,50,30,"fro_error",0.000270331064925545,3.19018411921455e-05,5.82445268229519e-06
"unscaled","thinning",10000,83.3333333333333,50,30,"fro_error",0.00456229323614219,0.00074411063504796,0.000135855393365087
"unscaled","thinning",30000,250,50,30,"fro_error",0.0026497280935723,0.000315555851263357,5.76123526298952e-05
"unscaled","thinning",100000,833.333333333333,50,30,"fro_error",0.00147888815523467,0.000145551213640522,2.65738943277225e-05
"unscaled","thinning",300000,2500,50,30,"fro_error",0.000833465100608804,0.000114399348085348,2.08863678367435e-05
"unscaled","thinning",1000000,8333.33333333333,50,30,"fro_error",0.000453994234906145,4.43489946952899e-05,8.09698159909573e-06
