"method","algorithm","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"unscaled","no_thinning",10000,83.3333333333333,50,30,"l1_error",0.177665626314241,0.0287149488341774,0.0052426084046952
"unscaled","no_thinning",30000,250,50,30,"l1_error",0.101560324262279,0.0112991865052372,0.00206293977679212
"unscaled","no_thinning",100000,833.333333333333,50,30,"l1_error",0.0568604212948073,0.00539785234244338,0.000985508496679446
"unscaled","no_thinning",300000,2500,50,30,"l1_error",0.0329698936604201,0.00297608682180646,0.000543356628465752
"unscaled","no_thinning",1000000,8333.33333333333,50,30,"l1_error",0.0182754718053411,0.00196330624315994,0.000358449038889807
"unscaled","thinning",10000,83.3333333333333,50,30,"l1_error",0.32239179104407,0.0484127743089109,0.00883892285346569
"unscaled","thinning",30000,250,50,30,"l1_error",0.183392470241551,0.0156174069031442,0.00285133535019633
"unscaled","thinning",100000,833.333333333333,50,30,"l1_error",0.102984880767435,0.0076725448918153,0.00140080863690609
"unscaled","thinning",300000,2500,50,30,"l1_error",0.0589762341692207,0.00589843260775017,0.00107690153106293
"unscaled","thinning",1000000,8333.33333333333,50,30,"l1_error",0.0325920873749514,0.00255606676780409,0.000466671809071873
