"method","algorithm","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"unscaled","no_thinning",10000,83.3333333333333,50,30,"normalized_fro",1.02078957768599,0.119276282124384,0.0217767700982919
"unscaled","no_thinning",30000,250,50,30,"normalized_fro",1.01709295026592,0.098038042174334,0.0178992157308419
"unscaled","no_thinning",100000,833.333333333333,50,30,"normalized_fro",1.01617632375326,0.119125192952644,0.0217491851157728
"unscaled","no_thinning",300000,2500,50,30,"normalized_fro",1.02336478773466,0.0951436912681837,0.0173707819706305
"unscaled","no_thinning",1000000,8333.33333333333,50,30,"normalized_fro",1.02469680573345,0.0925131451455669,0.0168905121539922
"unscaled","thinning",10000,83.3333333333333,50,30,"normalized_fro",1.76559062591709,0.193447946945961,0.0353186014151219
"unscaled","thinning",30000,250,50,30,"normalized_fro",1.76033023437723,0.180623919712311,0.0329772650838116
"unscaled","thinning",100000,833.333333333333,50,30,"normalized_fro",1.76021593410504,0.140470696592218,0.0256463230640073
"unscaled","thinning",300000,2500,50,30,"normalized_fro",1.75256538037786,0.155107324588361,0.0283185935037737
"unscaled","thinning",1000000,8333.33333333333,50,30,"normalized_fro",1.72448946090948,0.16086158500845,0.0293691729150543
