"method","algorithm","l1_error","fro_error","max_abs_error","rep","n","R","factor_type","weight_type","p","fiber_l1_max","slice_l1_max","experiment","p_scalar","sample_multiplier","hetero_strength","alpha_profile","normalized_fiber_l1_max","normalized_slice_l1_max","normalized_l1","normalized_fro"
"histogram","no_thinning",0.284571087138333,0.00181057215200281,0.000102152111417479,1,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.0115010380110041,0.0676085347975145,"dense_heteroskedastic",50,1500,100,0.8,28.7525950275104,3.38042673987572,11.021390812989,4.62357544493318
"unscaled","no_thinning",0.0394259393848197,0.000316187999874731,4.02230699926612e-05,1,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.0115010380110041,0.0676085347975145,"dense_heteroskedastic",50,1500,100,0.8,28.7525950275104,3.38042673987572,1.5269600664599,0.807434860072383
"oracle","no_thinning",0.033780955797411,0.000267897523833134,2.19917471862617e-05,1,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.0115010380110041,0.0676085347975145,"dense_heteroskedastic",50,1500,100,0.8,28.7525950275104,3.38042673987572,1.30833079222342,0.68411767605236
"oracle_cp","no_thinning",1.34362450729084,0.00897363070489872,0.00108836416994069,1,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.0115010380110041,0.0676085347975145,"dense_heteroskedastic",50,1500,100,0.8,28.7525950275104,3.38042673987572,52.0383534029357,22.915551050077
"slice_oracle","no_thinning",0.0346296222095891,0.000283838470915963,2.4959709399295e-05,1,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.0115010380110041,0.0676085347975145,"dense_heteroskedastic",50,1500,100,0.8,28.7525950275104,3.38042673987572,1.34119950103193,0.724825344851759
"slice_est","no_thinning",0.0346411919926586,0.000283984509249182,2.50380569010269e-05,1,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.0115010380110041,0.0676085347975145,"dense_heteroskedastic",50,1500,100,0.8,28.7525950275104,3.38042673987572,1.3416475968034,0.725198276276084
"histogram","no_thinning",0.280373374381611,0.00182698510210578,0.000116874994442995,2,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00982754553963859,0.10748272638453,"dense_heteroskedastic",50,1500,100,0.8,24.5688638490965,5.37413631922649,10.8588140969996,5.04711389379625
"unscaled","no_thinning",0.0384709324496932,0.000325733857367806,4.08095224353564e-05,2,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00982754553963859,0.10748272638453,"dense_heteroskedastic",50,1500,100,0.8,24.5688638490965,5.37413631922649,1.48997280690732,0.899851824355882
"oracle","no_thinning",0.0327341797220057,0.000268209801282585,2.51295529788475e-05,2,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00982754553963859,0.10748272638453,"dense_heteroskedastic",50,1500,100,0.8,24.5688638490965,5.37413631922649,1.26778932915089,0.740939492580105
"oracle_cp","no_thinning",1.16080842047887,0.00917180186864164,0.00146383886696501,2,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00982754553963859,0.10748272638453,"dense_heteroskedastic",50,1500,100,0.8,24.5688638490965,5.37413631922649,44.9579168065198,25.3374417716995
"slice_oracle","no_thinning",0.0325513820889802,0.000277737762957992,3.01160961765257e-05,2,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00982754553963859,0.10748272638453,"dense_heteroskedastic",50,1500,100,0.8,24.5688638490965,5.37413631922649,1.26070960726655,0.767260838986312
"slice_est","no_thinning",0.0325224751429457,0.000277524603949099,3.00327892509192e-05,2,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00982754553963859,0.10748272638453,"dense_heteroskedastic",50,1500,100,0.8,24.5688638490965,5.37413631922649,1.25959004606073,0.766671979343104
"histogram","no_thinning",0.28044352989224,0.0018413055990903,0.00013317463023199,3,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00858116957193084,0.0700721326005636,"dense_heteroskedastic",50,1500,100,0.8,21.4529239298271,3.50360663002818,10.8615312082427,5.44356312413638
"unscaled","no_thinning",0.0392303417625225,0.00032064525590162,5.25516537625847e-05,3,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00858116957193084,0.0700721326005636,"dense_heteroskedastic",50,1500,100,0.8,21.4529239298271,3.50360663002818,1.51938460312275,0.947942966022412
"oracle","no_thinning",0.0341747744568979,0.00027173681755767,2.93679248986068e-05,3,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00858116957193084,0.0700721326005636,"dense_heteroskedastic",50,1500,100,0.8,21.4529239298271,3.50360663002818,1.3235833233196,0.80335199124899
"oracle_cp","no_thinning",1.11639798732384,0.00922998181201492,0.000995619877057375,3,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00858116957193084,0.0700721326005636,"dense_heteroskedastic",50,1500,100,0.8,21.4529239298271,3.50360663002818,43.2379081264472,27.2871535573221
"slice_oracle","no_thinning",0.0356424274790585,0.000304716277571889,4.05139642102147e-05,3,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00858116957193084,0.0700721326005636,"dense_heteroskedastic",50,1500,100,0.8,21.4529239298271,3.50360663002818,1.38042528044799,0.900851163833937
"slice_est","no_thinning",0.035664187609562,0.000304722609298484,4.05481351573968e-05,3,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00858116957193084,0.0700721326005636,"dense_heteroskedastic",50,1500,100,0.8,21.4529239298271,3.50360663002818,1.38126804667851,0.900869882700281
"histogram","no_thinning",0.279006844239264,0.00182999544561768,0.000132188920125874,4,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00804259048066529,0.0758673078072784,"dense_heteroskedastic",50,1500,100,0.8,20.1064762016632,3.79336539036392,10.8058886121656,5.58833796295083
"unscaled","no_thinning",0.0391047657776333,0.000309143336712802,3.44989289221641e-05,4,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00804259048066529,0.0758673078072784,"dense_heteroskedastic",50,1500,100,0.8,20.1064762016632,3.79336539036392,1.51452106614116,0.944044668899337
"oracle","no_thinning",0.0325967364170645,0.000257168604317707,1.98959728313628e-05,4,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00804259048066529,0.0758673078072784,"dense_heteroskedastic",50,1500,100,0.8,20.1064762016632,3.79336539036392,1.26246617284004,0.785327131730998
"oracle_cp","no_thinning",0.894648579860467,0.00929840241037861,0.000746476487401918,4,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00804259048066529,0.0758673078072784,"dense_heteroskedastic",50,1500,100,0.8,20.1064762016632,3.79336539036392,34.6495905050771,28.3949423530795
"slice_oracle","no_thinning",0.0341867775027223,0.000282688226967963,2.87198430082203e-05,4,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00804259048066529,0.0758673078072784,"dense_heteroskedastic",50,1500,100,0.8,20.1064762016632,3.79336539036392,1.32404819928542,0.863257531174407
"slice_est","no_thinning",0.0342055078963216,0.000282848444229557,2.87094294933698e-05,4,300000,4,"dense_heteroskedastic","balanced","50x50x50",0.00804259048066529,0.0758673078072784,"dense_heteroskedastic",50,1500,100,0.8,20.1064762016632,3.79336539036392,1.3247736243102,0.863746793706412
