"method","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"histogram",300000,1500,100,50,"fro_error",0.00182725255467556,1.12406331107256e-05,1.58966557948482e-06
"histogram",1000000,5000,100,50,"fro_error",0.00100115744847743,7.44759192011578e-06,1.0532485500448e-06
"histogram",3000000,15000,100,50,"fro_error",0.000577717470291442,3.92645841115465e-06,5.55285073714883e-07
"histogram",10000000,50000,100,50,"fro_error",0.000316821804588862,1.94062368438751e-06,2.74445633392326e-07
"histogram",30000000,150000,100,50,"fro_error",0.000182828224246739,1.33671152312967e-06,1.89039556499037e-07
"histogram",100000000,5e+05,100,50,"fro_error",9.99393178775628e-05,7.04305497379424e-07,9.96038386447909e-08
"oracle",300000,1500,100,50,"fro_error",0.000258402080977327,1.51849639782366e-05,2.1474782002169e-06
"oracle",1000000,5000,100,50,"fro_error",0.000140418857762246,7.75228972694893e-06,1.09633932712968e-06
"oracle",3000000,15000,100,50,"fro_error",8.13025007028658e-05,4.94701251317207e-06,6.99613218935735e-07
"oracle",10000000,50000,100,50,"fro_error",4.55030322616427e-05,2.71484213440204e-06,3.83936656617329e-07
"oracle",30000000,150000,100,50,"fro_error",2.61660622569457e-05,1.78741230857132e-06,2.52778272833417e-07
"oracle",100000000,5e+05,100,50,"fro_error",1.42998840564596e-05,1.05918280265937e-06,1.49791068455323e-07
"oracle_cp",300000,1500,100,50,"fro_error",0.0226446963164301,0.0972314345613927,0.0137506013445714
"oracle_cp",1000000,5000,100,50,"fro_error",0.0141882149897413,0.0215734091813144,0.00305094078508391
"oracle_cp",3000000,15000,100,50,"fro_error",0.0329640040297171,0.10616841520096,0.0150144812672856
"oracle_cp",10000000,50000,100,50,"fro_error",0.0310511294066728,0.116486713818195,0.0164737090517965
"oracle_cp",30000000,150000,100,50,"fro_error",0.0190520594233071,0.0555569482198367,0.00785693896565529
"oracle_cp",100000000,5e+05,100,50,"fro_error",0.0557511195505415,0.164035741073591,0.0231981569740194
"slice_est",300000,1500,100,50,"fro_error",0.000278049094175879,1.78727242651105e-05,2.52758490522739e-06
"slice_est",1000000,5000,100,50,"fro_error",0.000150461907684253,9.38859474915953e-06,1.32774780258862e-06
"slice_est",3000000,15000,100,50,"fro_error",8.73336457131304e-05,5.56377944161176e-06,7.86837234437996e-07
"slice_est",10000000,50000,100,50,"fro_error",4.87022699644429e-05,3.16457258271854e-06,4.47538146559462e-07
"slice_est",30000000,150000,100,50,"fro_error",2.81202204497984e-05,2.05136847477603e-06,2.90107311845288e-07
"slice_est",100000000,5e+05,100,50,"fro_error",1.53115493808765e-05,1.18176898450221e-06,1.6712737254749e-07
"slice_oracle",300000,1500,100,50,"fro_error",0.000278137420172235,1.78897323033678e-05,2.52999020506469e-06
"slice_oracle",1000000,5000,100,50,"fro_error",0.000150472627591768,9.40083643088488e-06,1.32947903782085e-06
"slice_oracle",3000000,15000,100,50,"fro_error",8.73360246075494e-05,5.56873340700347e-06,7.87537830942445e-07
"slice_oracle",10000000,50000,100,50,"fro_error",4.87013322308834e-05,3.16520138814233e-06,4.47627073075303e-07
"slice_oracle",30000000,150000,100,50,"fro_error",2.81204016509043e-05,2.05152742451193e-06,2.90129790732511e-07
"slice_oracle",100000000,5e+05,100,50,"fro_error",1.53117579352217e-05,1.1817457329438e-06,1.67124084280565e-07
"unscaled",300000,1500,100,50,"fro_error",0.000313797555664812,2.99970393533804e-05,4.24222198845901e-06
"unscaled",1000000,5000,100,50,"fro_error",0.000170413843177363,1.2424176312793e-05,1.75704386428664e-06
"unscaled",3000000,15000,100,50,"fro_error",9.78980629511521e-05,7.28967005123427e-06,1.03091502516805e-06
"unscaled",10000000,50000,100,50,"fro_error",5.51531979904795e-05,4.20979482257119e-06,5.95354893288822e-07
"unscaled",30000000,150000,100,50,"fro_error",3.18660875988098e-05,2.97038011528615e-06,4.20075184444103e-07
"unscaled",100000000,5e+05,100,50,"fro_error",1.71726720081496e-05,1.454351556462e-06,2.05676369560699e-07
