"method","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"histogram",300000,1500,100,50,"l1_error",0.287243761982136,0.00901446651080524,0.00127483807971388
"histogram",1000000,5000,100,50,"l1_error",0.161358453499271,0.00433382785561205,0.000612895813039687
"histogram",3000000,15000,100,50,"l1_error",0.0929957490118583,0.00309493689108396,0.000437690172605976
"histogram",10000000,50000,100,50,"l1_error",0.0510125094180125,0.00133632317665538,0.000188984636013954
"histogram",30000000,150000,100,50,"l1_error",0.0295497899961336,0.000903077120383828,0.000127714391151565
"histogram",100000000,5e+05,100,50,"l1_error",0.0162077949825864,0.000496033265128443,7.01496970932853e-05
"oracle",300000,1500,100,50,"l1_error",0.0332601384940166,0.00117412533638978,0.000166046397464829
"oracle",1000000,5000,100,50,"l1_error",0.018280418543392,0.000636944120238948,9.00775013315719e-05
"oracle",3000000,15000,100,50,"l1_error",0.0106480224745049,0.000395890474706591,5.59873678544384e-05
"oracle",10000000,50000,100,50,"l1_error",0.00588415531491749,0.000220238097220716,3.1146370404078e-05
"oracle",30000000,150000,100,50,"l1_error",0.00337873430956258,0.000129619792243625,1.83310068142918e-05
"oracle",100000000,5e+05,100,50,"l1_error",0.00186968949415008,6.81969105821177e-05,9.64449958571762e-06
"oracle_cp",300000,1500,100,50,"l1_error",0.969616480421438,0.335365561183139,0.047427852497806
"oracle_cp",1000000,5000,100,50,"l1_error",1.03538271972675,0.39139824285486,0.0553520703334342
"oracle_cp",3000000,15000,100,50,"l1_error",0.984974700165422,0.464580694634096,0.0657016319168252
"oracle_cp",10000000,50000,100,50,"l1_error",0.963596020978147,0.531442041780605,0.0751572543101381
"oracle_cp",30000000,150000,100,50,"l1_error",0.900246937121955,0.50801573357378,0.0718442740318956
"oracle_cp",100000000,5e+05,100,50,"l1_error",0.92593991236168,0.593742526116125,0.0839678732991086
"slice_est",300000,1500,100,50,"l1_error",0.0341519982523031,0.00130373450320526,0.000184375901616663
"slice_est",1000000,5000,100,50,"l1_error",0.0187622104479014,0.000764790917689831,0.000108157768817672
"slice_est",3000000,15000,100,50,"l1_error",0.0109506447609751,0.000387990901380146,5.48701994809164e-05
"slice_est",10000000,50000,100,50,"l1_error",0.00601925232338672,0.000235467999244344,3.3300203803621e-05
"slice_est",30000000,150000,100,50,"l1_error",0.00347316135384769,0.000143200254909921,2.02515742628894e-05
"slice_est",100000000,5e+05,100,50,"l1_error",0.00191433860541964,7.69036927372587e-05,1.08758245265604e-05
"slice_oracle",300000,1500,100,50,"l1_error",0.0341577471386045,0.00130588159796682,0.000184679546669812
"slice_oracle",1000000,5000,100,50,"l1_error",0.0187637454076869,0.000766015410606295,0.000108330938266622
"slice_oracle",3000000,15000,100,50,"l1_error",0.0109506808709627,0.000388287388071788,5.49121290309547e-05
"slice_oracle",10000000,50000,100,50,"l1_error",0.00601927449515245,0.000235355452586195,3.32842873025854e-05
"slice_oracle",30000000,150000,100,50,"l1_error",0.0034731652593498,0.000143223681848673,2.02548873323403e-05
"slice_oracle",100000000,5e+05,100,50,"l1_error",0.00191435516128527,7.69053748705711e-05,1.08760624161349e-05
"unscaled",300000,1500,100,50,"l1_error",0.0393685772632209,0.00263368553913603,0.000372459380847207
"unscaled",1000000,5000,100,50,"l1_error",0.0217885263731624,0.00110055413914586,0.000155641858970593
"unscaled",3000000,15000,100,50,"l1_error",0.0126126925845476,0.000823790344812578,0.000116501547818596
"unscaled",10000000,50000,100,50,"l1_error",0.00700301428704247,0.000320464848654257,4.53205735230692e-05
"unscaled",30000000,150000,100,50,"l1_error",0.00404558875478347,0.000255480430474252,3.61303889697604e-05
"unscaled",100000000,5e+05,100,50,"l1_error",0.00219328607270897,0.000100863216751056,1.42642129073921e-05
