"method","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"histogram",300000,1500,100,50,"normalized_fro",5.35444306214412,0.563420707701896,0.0796797206153868
"histogram",1000000,5000,100,50,"normalized_fro",5.43684734011826,0.556528540475972,0.0787050209788823
"histogram",3000000,15000,100,50,"normalized_fro",5.48111099384948,0.548956676861436,0.0776341977572707
"histogram",10000000,50000,100,50,"normalized_fro",5.35048247253274,0.479568402537311,0.0678212138953865
"histogram",30000000,150000,100,50,"normalized_fro",5.33247685597572,0.568508765381517,0.0803992806330525
"histogram",100000000,5e+05,100,50,"normalized_fro",5.33400955342789,0.599471074662956,0.0847780124038727
"oracle",300000,1500,100,50,"normalized_fro",0.75502759476519,0.0702665918579609,0.00993719671872633
"oracle",1000000,5000,100,50,"normalized_fro",0.760871445907122,0.0724321902531732,0.0102434585808426
"oracle",3000000,15000,100,50,"normalized_fro",0.769875342886821,0.0752820525441757,0.0106464899711257
"oracle",10000000,50000,100,50,"normalized_fro",0.767006936741565,0.0676391684707066,0.00956562293989119
"oracle",30000000,150000,100,50,"normalized_fro",0.761115733144623,0.078602346676482,0.0111160504704233
"oracle",100000000,5e+05,100,50,"normalized_fro",0.759433369517116,0.0683118496530191,0.00966075442500914
"oracle_cp",300000,1500,100,50,"normalized_fro",63.6948001389973,270.855790204236,38.3047931954113
"oracle_cp",1000000,5000,100,50,"normalized_fro",74.2503418238403,107.641068624777,15.2227459117493
"oracle_cp",3000000,15000,100,50,"normalized_fro",320.542123354295,1052.79186071849,148.887252778409
"oracle_cp",10000000,50000,100,50,"normalized_fro",523.160381721548,1998.74183947503,282.664781706813
"oracle_cp",30000000,150000,100,50,"normalized_fro",544.159050082356,1536.21023846427,217.252935389257
"oracle_cp",100000000,5e+05,100,50,"normalized_fro",2921.09693512003,8746.68920385921,1236.968649796
"slice_est",300000,1500,100,50,"normalized_fro",0.812336033830889,0.0782912322034888,0.0110720522397075
"slice_est",1000000,5000,100,50,"normalized_fro",0.815117112563613,0.0796604864330673,0.0112656940298882
"slice_est",3000000,15000,100,50,"normalized_fro",0.827440292317116,0.087009475816296,0.012304998075438
"slice_est",10000000,50000,100,50,"normalized_fro",0.820801023146251,0.0731246105269465,0.0103413815950458
"slice_est",30000000,150000,100,50,"normalized_fro",0.81691026188125,0.0752495580552619,0.0106418945564333
"slice_est",100000000,5e+05,100,50,"normalized_fro",0.813297506880518,0.0768526062677744,0.0108685998087606
"slice_oracle",300000,1500,100,50,"normalized_fro",0.812602414490003,0.0784462357616833,0.011093973053129
"slice_oracle",1000000,5000,100,50,"normalized_fro",0.815177677967343,0.0797297863178369,0.0112754945135794
"slice_oracle",3000000,15000,100,50,"normalized_fro",0.827463081532907,0.087043253453898,0.0123097749547581
"slice_oracle",10000000,50000,100,50,"normalized_fro",0.820783127126658,0.0731124921573005,0.0103396677987751
"slice_oracle",30000000,150000,100,50,"normalized_fro",0.816916057896142,0.0752607460749224,0.0106434767813473
"slice_oracle",100000000,5e+05,100,50,"normalized_fro",0.813308599541536,0.0768531732764037,0.01086867999589
"unscaled",300000,1500,100,50,"normalized_fro",0.914635524864447,0.0866019420273731,0.012247364094296
"unscaled",1000000,5000,100,50,"normalized_fro",0.921282992904365,0.0744233365979605,0.0105250491973894
"unscaled",3000000,15000,100,50,"normalized_fro",0.925488917850488,0.0839731293470183,0.0118755938397463
"unscaled",10000000,50000,100,50,"normalized_fro",0.928193718642347,0.0761123271270691,0.0107639085286879
"unscaled",30000000,150000,100,50,"normalized_fro",0.923624936019223,0.0762749314924054,0.0107869042585638
"unscaled",100000000,5e+05,100,50,"normalized_fro",0.911271942550401,0.0819132219889759,0.0115842789474488
