"method","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"histogram",300000,1500,100,50,"normalized_l1",11.1249030645878,0.349128786712932,0.0493742665184292
"histogram",1000000,5000,100,50,"normalized_l1",11.4097656671109,0.306447906519843,0.0433382785561205
"histogram",3000000,15000,100,50,"normalized_l1",11.3896066663493,0.379050808463571,0.0536058794157668
"histogram",10000000,50000,100,50,"normalized_l1",11.4067438761524,0.298810946290989,0.0422582492830256
"histogram",30000000,150000,100,50,"normalized_l1",11.4445844538952,0.349760264758751,0.0494635710001031
"histogram",100000000,5e+05,100,50,"normalized_l1",11.4606417402682,0.350748485466426,0.0496033265128442
"oracle",300000,1500,100,50,"normalized_l1",1.28815962479878,0.0454736787419779,0.00643094932079022
"oracle",1000000,5000,100,50,"normalized_l1",1.29262079149608,0.045038750665786,0.00636944120238948
"oracle",3000000,15000,100,50,"normalized_l1",1.30411109161122,0.0484864828529679,0.00685702416424377
"oracle",10000000,50000,100,50,"normalized_l1",1.31573712743222,0.0492467356620728,0.0069645401475906
"oracle",30000000,150000,100,50,"normalized_l1",1.30857817121955,0.0502015296698426,0.00709956841109667
"oracle",100000000,5e+05,100,50,"normalized_l1",1.32207012002677,0.0482224979285881,0.00681969105821178
"oracle_cp",300000,1500,100,50,"normalized_l1",37.5530848088048,12.988652333538,1.83687282870384
"oracle_cp",1000000,5000,100,50,"normalized_l1",73.2126142242156,27.6760351667171,3.9139824285486
"oracle_cp",3000000,15000,100,50,"normalized_l1",120.634271247807,56.8992823100651,8.04677367321896
"oracle_cp",10000000,50000,100,50,"normalized_l1",215.466620575545,118.834053152272,16.8056729639708
"oracle_cp",30000000,150000,100,50,"normalized_l1",348.664139494757,196.753647574259,27.8251676845894
"oracle_cp",100000000,5e+05,100,50,"normalized_l1",654.738391002221,419.839366495543,59.3742526116125
"slice_est",300000,1500,100,50,"normalized_l1",1.32270120470875,0.0504934201878998,0.00714084796403313
"slice_est",1000000,5000,100,50,"normalized_l1",1.32668862377602,0.0540788844088362,0.00764790917689831
"slice_est",3000000,15000,100,50,"normalized_l1",1.34117460094355,0.0475189866611934,0.00672019954064858
"slice_est",10000000,50000,100,50,"normalized_l1",1.34594573688163,0.0526522452836223,0.00744615193694935
"slice_est",30000000,150000,100,50,"normalized_l1",1.34514960821433,0.055461220243878,0.00784340098546535
"slice_est",100000000,5e+05,100,50,"normalized_l1",1.35364180937943,0.0543791226328022,0.00769036927372587
"slice_oracle",300000,1500,100,50,"normalized_l1",1.32292385811779,0.0505765768104421,0.00715260808637319
"slice_oracle",1000000,5000,100,50,"normalized_l1",1.32679716182334,0.0541654691333109,0.00766015410606295
"slice_oracle",3000000,15000,100,50,"normalized_l1",1.34117902349575,0.0475552987166958,0.0067253348407855
"slice_oracle",10000000,50000,100,50,"normalized_l1",1.34595069463916,0.052627079085796,0.00744259289912142
"slice_oracle",30000000,150000,100,50,"normalized_l1",1.34515112080879,0.055470293458242,0.00784468413174614
"slice_oracle",100000000,5e+05,100,50,"normalized_l1",1.35365351614428,0.0543803120806743,0.00769053748705711
"unscaled",300000,1500,100,50,"normalized_l1",1.52473844104335,0.102002202322212,0.0144252897915996
"unscaled",1000000,5000,100,50,"normalized_l1",1.5406814750525,0.0778209294852963,0.0110055413914586
"unscaled",3000000,15000,100,50,"normalized_l1",1.54473305573634,0.100893299991111,0.0142684673200007
"unscaled",10000000,50000,100,50,"normalized_l1",1.56592159932292,0.0716581185990101,0.010133988317686
"unscaled",30000000,150000,100,50,"normalized_l1",1.56684978728804,0.098947145250868,0.0139932394771878
"unscaled",100000000,5e+05,100,50,"normalized_l1",1.55088745509453,0.0713210645369604,0.0100863216751056
