"method","algorithm","l1_error","fro_error","max_abs_error","rep","n","R","factor_type","weight_type","p","fiber_l1_max","slice_l1_max","experiment","p_scalar","sample_multiplier","hetero_strength","alpha_profile","normalized_fiber_l1_max","normalized_slice_l1_max","normalized_l1","normalized_fro"
"histogram","no_thinning",0.530185225156707,0.00224365986333362,7.97007227831942e-05,1,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.0046519680518075,0.0768978953509477,"dense_heteroskedastic",50,1000,1,0.8,11.6299201295188,3.84489476754738,16.765928932644,7.35569408933846
"unscaled","no_thinning",0.0556352251057976,0.000285723279669452,2.37070739529146e-05,1,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.0046519680518075,0.0768978953509477,"dense_heteroskedastic",50,1000,1,0.8,11.6299201295188,3.84489476754738,1.75934029470503,0.936725336044609
"oracle","no_thinning",0.0493834713008914,0.000249789375023367,1.91465444841854e-05,1,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.0046519680518075,0.0768978953509477,"dense_heteroskedastic",50,1000,1,0.8,11.6299201295188,3.84489476754738,1.56164248076375,0.818918348304793
"oracle_cp","no_thinning",0.307462923973717,0.00251450438444488,0.000415019567620242,1,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.0046519680518075,0.0768978953509477,"dense_heteroskedastic",50,1000,1,0.8,11.6299201295188,3.84489476754738,9.72283135812135,8.24364037550488
"slice_oracle","no_thinning",0.0505823562759811,0.000260756266927853,2.04936018887975e-05,1,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.0046519680518075,0.0768978953509477,"dense_heteroskedastic",50,1000,1,0.8,11.6299201295188,3.84489476754738,1.59955455250213,0.85487259577276
"slice_est","no_thinning",0.050518918227081,0.000260456124291017,2.05765260709621e-05,1,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.0046519680518075,0.0768978953509477,"dense_heteroskedastic",50,1000,1,0.8,11.6299201295188,3.84489476754738,1.59754846525371,0.853888597504656
"histogram","no_thinning",0.530630695048683,0.0022500700607976,0.000126262910816795,2,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00482030987933702,0.057158033482085,"dense_heteroskedastic",50,1000,1,0.8,12.0507746983426,2.85790167410425,16.7800159275207,7.24675475330146
"unscaled","no_thinning",0.0565697719610693,0.000311293807699953,4.93492697095477e-05,2,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00482030987933702,0.057158033482085,"dense_heteroskedastic",50,1000,1,0.8,12.0507746983426,2.85790167410425,1.78889326113309,1.00257761743796
"oracle","no_thinning",0.044311160631942,0.000229537412751358,1.52418379759467e-05,2,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00482030987933702,0.057158033482085,"dense_heteroskedastic",50,1000,1,0.8,12.0507746983426,2.85790167410425,1.40124193362523,0.739266463697038
"oracle_cp","no_thinning",0.0708433358960295,0.000389064698560332,4.02157447004127e-05,2,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00482030987933702,0.057158033482085,"dense_heteroskedastic",50,1000,1,0.8,12.0507746983426,2.85790167410425,2.24026298475819,1.25305273944868
"slice_oracle","no_thinning",0.0459079332548565,0.000249647096254542,3.60701333478323e-05,2,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00482030987933702,0.057158033482085,"dense_heteroskedastic",50,1000,1,0.8,12.0507746983426,2.85790167410425,1.45173631756334,0.804033311206855
"slice_est","no_thinning",0.045876284974278,0.000249439436779613,3.58794332412658e-05,2,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00482030987933702,0.057158033482085,"dense_heteroskedastic",50,1000,1,0.8,12.0507746983426,2.85790167410425,1.45073551105678,0.803364506571291
"histogram","no_thinning",0.535632005180553,0.00224009371249865,8.39235584798113e-05,3,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00415834405361438,0.0638518449980577,"dense_heteroskedastic",50,1000,1,0.8,10.3958601340359,3.19259224990288,16.9381712405366,7.76767380645985
"unscaled","no_thinning",0.0525114114303456,0.000264997970056137,1.46277374410178e-05,3,2e+05,4,"dense_heteroskedastic","balanced","50x50x50",0.00415834405361438,0.0638518449980577,"dense_heteroskedastic",50,1000,1,0.8,10.3958601340359,3.19259224990288,1.66055663270092,0.91889807077494
