"method","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"histogram",2e+05,1000,1,50,"fro_error",0.00223581393667516,9.01952997127954e-06,1.27555416116141e-06
"histogram",2e+05,1000,3,50,"fro_error",0.00223770405405962,7.55804784690028e-06,1.06886937701511e-06
"histogram",2e+05,1000,10,50,"fro_error",0.00223499819069548,9.95128508950457e-06,1.40732423366185e-06
"histogram",2e+05,1000,30,50,"fro_error",0.00223635368871493,1.40645407250501e-05,1.98902642419146e-06
"histogram",2e+05,1000,100,50,"fro_error",0.00223544361447255,1.36548994533851e-05,1.93109439998181e-06
"histogram",2e+05,1000,300,50,"fro_error",0.00223128733674619,2.04720735501025e-05,2.89518840644545e-06
"histogram",2e+05,1000,1000,50,"fro_error",0.00223409479595883,2.09218399390927e-05,2.9587949791664e-06
"oracle",2e+05,1000,1,50,"fro_error",0.000237346908425901,1.12756800857163e-05,1.59462197022002e-06
"oracle",2e+05,1000,3,50,"fro_error",0.000247356849436762,1.67970075340502e-05,2.37545558619368e-06
"oracle",2e+05,1000,10,50,"fro_error",0.000256430784421412,1.26072655586855e-05,1.78293659375323e-06
"oracle",2e+05,1000,30,50,"fro_error",0.000290362201868088,1.71529538844311e-05,2.42579400181228e-06
"oracle",2e+05,1000,100,50,"fro_error",0.000321853131335932,2.19562776930103e-05,3.1050865692685e-06
"oracle",2e+05,1000,300,50,"fro_error",0.000341861166118919,2.5759034008132e-05,3.64287752479301e-06
"oracle",2e+05,1000,1000,50,"fro_error",0.000395804739219521,3.0600729344297e-05,4.32759664572132e-06
"oracle_cp",2e+05,1000,1,50,"fro_error",0.00146072677936095,0.00110306758588744,0.000155997314017617
"oracle_cp",2e+05,1000,3,50,"fro_error",0.00236200152679689,0.00124466198488975,0.000176021785960129
"oracle_cp",2e+05,1000,10,50,"fro_error",0.00404057525880015,0.00237987357588429,0.000336564948774892
"oracle_cp",2e+05,1000,30,50,"fro_error",0.00884992214448898,0.0119040084751803,0.00168348102322043
"oracle_cp",2e+05,1000,100,50,"fro_error",0.0181722936803568,0.063148073647141,0.00893048621895218
"oracle_cp",2e+05,1000,300,50,"fro_error",0.0726489792178368,0.171763431371247,0.0242910174164957
"oracle_cp",2e+05,1000,1000,50,"fro_error",0.0583232360920088,0.169007652641537,0.0239012914510503
"slice_est",2e+05,1000,1,50,"fro_error",0.00024626679415874,1.2373138494502e-05,1.74982602680453e-06
"slice_est",2e+05,1000,3,50,"fro_error",0.000257949293850531,1.74589453561945e-05,2.46906773074611e-06
"slice_est",2e+05,1000,10,50,"fro_error",0.000269219521395307,1.58286031808614e-05,2.23850252917962e-06
"slice_est",2e+05,1000,30,50,"fro_error",0.000307282826857493,2.07095871987702e-05,2.9287779087649e-06
"slice_est",2e+05,1000,100,50,"fro_error",0.000343036167214725,2.31990748244959e-05,3.28084462513103e-06
"slice_est",2e+05,1000,300,50,"fro_error",0.000370148184972426,2.61107251089449e-05,3.69261415724656e-06
"slice_est",2e+05,1000,1000,50,"fro_error",0.000425669141748276,3.12483733512192e-05,4.41918733953922e-06
"slice_oracle",2e+05,1000,1,50,"fro_error",0.000246373110495716,1.23307248854458e-05,1.74382783668888e-06
"slice_oracle",2e+05,1000,3,50,"fro_error",0.000258149916296769,1.75623619421588e-05,2.4836930445906e-06
"slice_oracle",2e+05,1000,10,50,"fro_error",0.000269383119479341,1.58918381986483e-05,2.24744531115672e-06
"slice_oracle",2e+05,1000,30,50,"fro_error",0.000307355715248954,2.07419431376843e-05,2.93335372952847e-06
"slice_oracle",2e+05,1000,100,50,"fro_error",0.000343129296646085,2.31384899998716e-05,3.27227663706527e-06
"slice_oracle",2e+05,1000,300,50,"fro_error",0.000370200083704983,2.59962848728884e-05,3.67642986385532e-06
"slice_oracle",2e+05,1000,1000,50,"fro_error",0.000425831995962571,3.13339786377422e-05,4.43129375526039e-06
"unscaled",2e+05,1000,1,50,"fro_error",0.000286130812171465,2.82667580471942e-05,3.99752325946608e-06
"unscaled",2e+05,1000,3,50,"fro_error",0.00029810922436459,3.29345181538498e-05,4.65764422433973e-06
"unscaled",2e+05,1000,10,50,"fro_error",0.000303902292346283,2.1549969970235e-05,3.04762598006393e-06
"unscaled",2e+05,1000,30,50,"fro_error",0.000347171703671965,3.07828666153986e-05,4.35335474562187e-06
"unscaled",2e+05,1000,100,50,"fro_error",0.000385270879741548,3.39052500554947e-05,4.79492644641317e-06
"unscaled",2e+05,1000,300,50,"fro_error",0.000412053725788795,3.52944214390919e-05,4.99138494752755e-06
"unscaled",2e+05,1000,1000,50,"fro_error",0.000477162734531099,3.81624101138336e-05,5.39697979558277e-06
