"method","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"histogram",2e+05,1000,1,50,"l1_error",0.530124588069185,0.00661852137231237,0.000936000268758034
"histogram",2e+05,1000,3,50,"l1_error",0.512900877783131,0.00982780127994537,0.00138986098584064
"histogram",2e+05,1000,10,50,"l1_error",0.468989363391024,0.0105443232228692,0.00149119249078272
"histogram",2e+05,1000,30,50,"l1_error",0.411636494699764,0.010865794341106,0.00153665537231489
"histogram",2e+05,1000,100,50,"l1_error",0.343850200555845,0.0107039579357328,0.00151376824837844
"histogram",2e+05,1000,300,50,"l1_error",0.296236695365916,0.0109647433473494,0.00155064887497617
"histogram",2e+05,1000,1000,50,"l1_error",0.248225944097415,0.0113706817554748,0.00160805723520208
"oracle",2e+05,1000,1,50,"l1_error",0.0460460912565842,0.00122736286377819,0.00017357532079082
"oracle",2e+05,1000,3,50,"l1_error",0.0458972013866359,0.00137194580052985,0.000194022435795012
"oracle",2e+05,1000,10,50,"l1_error",0.04477500299413,0.00129287284960113,0.000182839831832987
"oracle",2e+05,1000,30,50,"l1_error",0.0436959089791853,0.00110590642093042,0.000156398785919528
"oracle",2e+05,1000,100,50,"l1_error",0.0406323471362545,0.00140571072335484,0.000198797516974171
"oracle",2e+05,1000,300,50,"l1_error",0.0376896241633642,0.00165302608313526,0.000233773190572636
"oracle",2e+05,1000,1000,50,"l1_error",0.035278398641664,0.001699954804663,0.000240409914017573
"oracle_cp",2e+05,1000,1,50,"l1_error",0.245319149554875,0.191595709617255,0.0270957251033219
"oracle_cp",2e+05,1000,3,50,"l1_error",0.378285773195676,0.212218127422362,0.0300121753982126
"oracle_cp",2e+05,1000,10,50,"l1_error",0.587645766183805,0.290792489323243,0.0411242682237164
"oracle_cp",2e+05,1000,30,50,"l1_error",0.873782820728076,0.374900884944953,0.0530189916034827
"oracle_cp",2e+05,1000,100,50,"l1_error",0.976255722739155,0.419107181804787,0.0592707060596296
"oracle_cp",2e+05,1000,300,50,"l1_error",1.19594433867596,0.502371983906884,0.0710461272997394
"oracle_cp",2e+05,1000,1000,50,"l1_error",1.24952521218992,0.395268084479571,0.0558993485844244
"slice_est",2e+05,1000,1,50,"l1_error",0.0469679639447802,0.00146648757968401,0.000207392662424082
"slice_est",2e+05,1000,3,50,"l1_error",0.0468107182332016,0.00134823935066609,0.000190669837503709
"slice_est",2e+05,1000,10,50,"l1_error",0.0458314749555785,0.00142830901255415,0.00020199339768138
"slice_est",2e+05,1000,30,50,"l1_error",0.044714397201915,0.00123770100942451,0.000175037355369101
"slice_est",2e+05,1000,100,50,"l1_error",0.0416695030155865,0.00138597658234547,0.000196006687988447
"slice_est",2e+05,1000,300,50,"l1_error",0.0388484528905879,0.00174183033173296,0.000246332007848958
"slice_est",2e+05,1000,1000,50,"l1_error",0.0363001168208252,0.00183463191370956,0.000259456133433056
"slice_oracle",2e+05,1000,1,50,"l1_error",0.0469803895874603,0.00145712623909543,0.000206068768941846
"slice_oracle",2e+05,1000,3,50,"l1_error",0.0468322637094511,0.00135513010193257,0.000191644336893308
"slice_oracle",2e+05,1000,10,50,"l1_error",0.0458472320603729,0.00143015667104149,0.000202254696050523
"slice_oracle",2e+05,1000,30,50,"l1_error",0.0447266556561301,0.00124383561573663,0.000175904919713743
"slice_oracle",2e+05,1000,100,50,"l1_error",0.0416730261205013,0.00139345709312577,0.000197064591968345
"slice_oracle",2e+05,1000,300,50,"l1_error",0.0388529186039369,0.00175107370424071,0.00024763921812521
"slice_oracle",2e+05,1000,1000,50,"l1_error",0.0363085209281051,0.0018405387322497,0.000260291483722051
"unscaled",2e+05,1000,1,50,"l1_error",0.0546060129968848,0.00527078602727413,0.000745401708413767
"unscaled",2e+05,1000,3,50,"l1_error",0.0543872494894554,0.0048408417258011,0.000684598402192949
"unscaled",2e+05,1000,10,50,"l1_error",0.052257278196017,0.00229827426485375,0.000325025063540923
"unscaled",2e+05,1000,30,50,"l1_error",0.0514115934970848,0.00273039556375144,0.000386136243690061
"unscaled",2e+05,1000,100,50,"l1_error",0.0479288612018855,0.00260435938970562,0.000368312037021541
"unscaled",2e+05,1000,300,50,"l1_error",0.0446651589745893,0.00278491092692285,0.000393845880285533
"unscaled",2e+05,1000,1000,50,"l1_error",0.0420684319665559,0.00269630751762221,0.000381315465974986
