"method","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"histogram",2e+05,1000,1,50,"normalized_fro",7.58562168703495,0.824851575413479,0.116651628489456
"histogram",2e+05,1000,3,50,"normalized_fro",7.20872763480534,0.829044509343048,0.117244598892389
"histogram",2e+05,1000,10,50,"normalized_fro",6.77838479562444,0.720282210590374,0.101863287095298
"histogram",2e+05,1000,30,50,"normalized_fro",5.98889181133486,0.558483845759089,0.0789815429038788
"histogram",2e+05,1000,100,50,"normalized_fro",5.28585221844855,0.51197216022066,0.0724037972541508
"histogram",2e+05,1000,300,50,"normalized_fro",5.06360891285985,0.492638077984338,0.0696695451226865
"histogram",2e+05,1000,1000,50,"normalized_fro",4.47205033815462,0.475664133777863,0.0672690669123103
"oracle",2e+05,1000,1,50,"normalized_fro",0.802560331918121,0.0681972853509347,0.00964455258603199
"oracle",2e+05,1000,3,50,"normalized_fro",0.793356358052167,0.0733358571437248,0.0103712563780911
"oracle",2e+05,1000,10,50,"normalized_fro",0.776038025268349,0.0739512253087428,0.0104582825785733
"oracle",2e+05,1000,30,50,"normalized_fro",0.775482915335816,0.0639835453397595,0.00904863975882017
"oracle",2e+05,1000,100,50,"normalized_fro",0.758593443807875,0.0660222900517102,0.00933696180100588
"oracle",2e+05,1000,300,50,"normalized_fro",0.773733710021176,0.075651643940129,0.0106987580875951
"oracle",2e+05,1000,1000,50,"normalized_fro",0.788097558636039,0.0633801823811722,0.0089633113509134
"oracle_cp",2e+05,1000,1,50,"normalized_fro",4.92245014652476,3.6354206698751,0.514126121626886
"oracle_cp",2e+05,1000,3,50,"normalized_fro",7.61680578053984,3.97301721070217,0.561869482291673
"oracle_cp",2e+05,1000,10,50,"normalized_fro",12.2278355271821,7.27453311700568,1.02877433940017
"oracle_cp",2e+05,1000,30,50,"normalized_fro",23.1808122505893,29.0849466217079,4.11323259733168
"oracle_cp",2e+05,1000,100,50,"normalized_fro",42.0101646915918,142.440128225028,20.1440761161997
"oracle_cp",2e+05,1000,300,50,"normalized_fro",149.136814832976,314.782170345706,44.5169214496135
"oracle_cp",2e+05,1000,1000,50,"normalized_fro",114.256419098605,328.627031496992,46.4748804905456
"slice_est",2e+05,1000,1,50,"normalized_fro",0.832850699260853,0.0731907248674395,0.0103507315747451
"slice_est",2e+05,1000,3,50,"normalized_fro",0.827495453190708,0.078394991949859,0.011086726083762
"slice_est",2e+05,1000,10,50,"normalized_fro",0.814517096354421,0.079474635752302,0.0112394107745567
"slice_est",2e+05,1000,30,50,"normalized_fro",0.819831347680421,0.0630288658395788,0.00891362768913266
"slice_est",2e+05,1000,100,50,"normalized_fro",0.808193661685012,0.0654052723015125,0.00924970231395043
"slice_est",2e+05,1000,300,50,"normalized_fro",0.837902183902886,0.0794560845095827,0.0112367872326515
"slice_est",2e+05,1000,1000,50,"normalized_fro",0.847650894892644,0.0664906970493052,0.00940320455387681
"slice_oracle",2e+05,1000,1,50,"normalized_fro",0.8332299272501,0.0733568207783609,0.010374221083733
"slice_oracle",2e+05,1000,3,50,"normalized_fro",0.828124766416503,0.078503718489052,0.0111021023383937
"slice_oracle",2e+05,1000,10,50,"normalized_fro",0.815027407767941,0.0797848160641263,0.011283276894933
"slice_oracle",2e+05,1000,30,50,"normalized_fro",0.820024567765725,0.0630749545832096,0.00892014562176421
"slice_oracle",2e+05,1000,100,50,"normalized_fro",0.808436012298054,0.065605688424149,0.00927804543382551
"slice_oracle",2e+05,1000,300,50,"normalized_fro",0.838035630994491,0.0794976857849665,0.0112426705414374
"slice_oracle",2e+05,1000,1000,50,"normalized_fro",0.84796318141308,0.0665271749335081,0.00940836330573346
"unscaled",2e+05,1000,1,50,"normalized_fro",0.966074465634636,0.104333128008218,0.0147549324634031
"unscaled",2e+05,1000,3,50,"normalized_fro",0.951793269806097,0.0735395408662822,0.0104000616063787
"unscaled",2e+05,1000,10,50,"normalized_fro",0.918251474675207,0.0846361329677441,0.0119693567109796
"unscaled",2e+05,1000,30,50,"normalized_fro",0.92399307773067,0.0589054591126763,0.00833048991749606
"unscaled",2e+05,1000,100,50,"normalized_fro",0.906289491596798,0.0710345855736141,0.0100458074315757
"unscaled",2e+05,1000,300,50,"normalized_fro",0.929740764675745,0.0674689104618133,0.00954154482136324
"unscaled",2e+05,1000,1000,50,"normalized_fro",0.949577226958099,0.0724640126379132,0.0102479589456512
