"method","n","sample_multiplier","hetero_strength","n_rep","metric","mean","sd","se"
"histogram",2e+05,1000,1,50,"normalized_l1",16.7640114195715,0.209296022790104,0.0295989273980513
"histogram",2e+05,1000,3,50,"normalized_l1",16.2193498769435,0.310782364361455,0.0439512634626346
"histogram",2e+05,1000,10,50,"normalized_l1",14.8307458670803,0.33344077769274,0.0471556470061305
"histogram",2e+05,1000,30,50,"normalized_l1",13.0170889129908,0.343606587048633,0.0485933095524909
"histogram",2e+05,1000,100,50,"normalized_l1",10.8734980766216,0.338488870555498,0.0478695551451936
"histogram",2e+05,1000,300,50,"normalized_l1",9.36782683877742,0.346735629368028,0.0490358229610236
"histogram",2e+05,1000,1000,50,"normalized_l1",7.84959357693461,0.359572528962223,0.0508512347115168
"oracle",2e+05,1000,1,50,"normalized_l1",1.45610525718771,0.0388126216504605,0.00548893359293369
"oracle",2e+05,1000,3,50,"normalized_l1",1.45139694609208,0.0433847355597736,0.00613552814286022
"oracle",2e+05,1000,10,50,"normalized_l1",1.4159099170231,0.0408842292973188,0.00578190315594397
"oracle",2e+05,1000,30,50,"normalized_l1",1.38178596805628,0.0349718316914503,0.00494576386790782
"oracle",2e+05,1000,100,50,"normalized_l1",1.28490763629184,0.0444524761712414,0.00628652946824364
"oracle",2e+05,1000,300,50,"normalized_l1",1.19185056511949,0.0522732745437428,0.00739255738094133
"oracle",2e+05,1000,1000,50,"normalized_l1",1.11560091911049,0.0537572910208172,0.00760242900380771
"oracle_cp",2e+05,1000,1,50,"normalized_l1",7.75767266248886,6.05878832306752,0.856842061802983
"oracle_cp",2e+05,1000,3,50,"normalized_l1",11.9624464973621,6.71092643430502,0.949068317948228
"oracle_cp",2e+05,1000,10,50,"normalized_l1",18.5829907849558,9.19566592731643,1.30046354694631
"oracle_cp",2e+05,1000,30,50,"normalized_l1",27.6314389382731,11.8554069323878,1.67660772712348
"oracle_cp",2e+05,1000,100,50,"normalized_l1",30.8719166262956,13.2533327823741,1.87430429674773
"oracle_cp",2e+05,1000,300,50,"normalized_l1",37.8190806499984,15.8863970180321,2.24667581201445
"oracle_cp",2e+05,1000,1000,50,"normalized_l1",39.5134566432535,12.499474333273,1.7676926124649
"slice_est",2e+05,1000,1,50,"normalized_l1",1.48525743126172,0.0463744091214913,0.00655833183266515
"slice_est",2e+05,1000,3,50,"normalized_l1",1.4802848852529,0.0426350717917131,0.00602950967605913
"slice_est",2e+05,1000,10,50,"normalized_l1",1.44931849384592,0.0451670968221714,0.00638759208989336
"slice_est",2e+05,1000,30,50,"normalized_l1",1.41399339359511,0.0391395425207097,0.00553516718578661
"slice_est",2e+05,1000,100,50,"normalized_l1",1.31770538496508,0.0438284278386759,0.0061982757066946
"slice_est",2e+05,1000,300,50,"normalized_l1",1.2284959470801,0.0550815114584283,0.00778970205405183
"slice_est",2e+05,1000,1000,50,"normalized_l1",1.14791048483998,0.058016155153557,0.0082047233454902
"slice_oracle",2e+05,1000,1,50,"normalized_l1",1.48565036458433,0.0460783775393665,0.00651646664483199
"slice_oracle",2e+05,1000,3,50,"normalized_l1",1.48096621303512,0.0428529764796307,0.0060603260525549
"slice_oracle",2e+05,1000,10,50,"normalized_l1",1.44981677725073,0.0452255249137526,0.00639585506984713
"slice_oracle",2e+05,1000,30,50,"normalized_l1",1.41438103995424,0.0393335358056571,0.00556260197924481
"slice_oracle",2e+05,1000,100,50,"normalized_l1",1.31781679532475,0.0440649823599479,0.00623172956791695
"slice_oracle",2e+05,1000,300,50,"normalized_l1",1.2286371653357,0.0553738125622868,0.00783103967258916
"slice_oracle",2e+05,1000,1000,50,"normalized_l1",1.14817624604703,0.0582029451566786,0.00823113944106322
"unscaled",2e+05,1000,1,50,"normalized_l1",1.72679375010913,0.166676889055766,0.023571671703682
"unscaled",2e+05,1000,3,50,"normalized_l1",1.71987584058509,0.153080856459118,0.0216489023344173
"unscaled",2e+05,1000,10,50,"normalized_l1",1.65252023420469,0.0726778136468692,0.0102781949743027
"unscaled",2e+05,1000,30,50,"normalized_l1",1.62577733589489,0.0863426889467402,0.0122107001720241
"unscaled",2e+05,1000,100,50,"normalized_l1",1.51564367056033,0.0823570751711585,0.0116470492664433
"unscaled",2e+05,1000,300,50,"normalized_l1",1.41243634413213,0.0880666160976695,0.0124545002877629
"unscaled",2e+05,1000,1000,50,"normalized_l1",1.33032062606153,0.0852647302792077,0.0120582537952939
