"method","algorithm","l1_error","fro_error","max_abs_error","rep","n","R","factor_type","weight_type","p","fiber_l1_max","slice_l1_max","experiment","p_scalar","sample_multiplier","hetero_strength","alpha_profile","normalized_fiber_l1_max","normalized_slice_l1_max","normalized_l1","normalized_fro"
"histogram","no_thinning",1.45722282265016,0.00834103042139264,0.00043127185577864,1,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00486515000023188,0.0761137689412772,"dense_heteroskedastic_RP",60,120,1,0.8,17.5145400008348,4.56682613647663,15.9630762255368,10.1470041027877
"unscaled","no_thinning",0.155557789479495,0.000791466972699338,5.14465283850738e-05,1,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00486515000023188,0.0761137689412772,"dense_heteroskedastic_RP",60,120,1,0.8,17.5145400008348,4.56682613647663,1.70405020587119,0.962832913137883
"oracle","no_thinning",0.121923269509045,0.00060386585627606,3.84418320020019e-05,1,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00486515000023188,0.0761137689412772,"dense_heteroskedastic_RP",60,120,1,0.8,17.5145400008348,4.56682613647663,1.33560249989771,0.734612992832553
"oracle_cp","no_thinning",1.02756220744923,0.00442508510331696,0.00027438680316113,1,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00486515000023188,0.0761137689412772,"dense_heteroskedastic_RP",60,120,1,0.8,17.5145400008348,4.56682613647663,11.256380005195,5.38319061675899
"slice_oracle","no_thinning",0.124547513775765,0.000644573553499883,4.45140463510403e-05,1,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00486515000023188,0.0761137689412772,"dense_heteroskedastic_RP",60,120,1,0.8,17.5145400008348,4.56682613647663,1.36434965552344,0.7841345926682
"slice_est","no_thinning",0.123598262253375,0.000636481018854078,4.41556554431341e-05,1,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00486515000023188,0.0761137689412772,"dense_heteroskedastic_RP",60,120,1,0.8,17.5145400008348,4.56682613647663,1.35395112609226,0.774289887865023
"histogram","no_thinning",1.4834837897667,0.00835340068850553,0.000379805602445129,2,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00763965725796508,0.084386143270275,"dense_heteroskedastic_RP",60,120,1,0.8,27.5027661286743,5.0631685962165,16.2507507069695,8.10947285573976
"unscaled","no_thinning",0.16564714092371,0.000856481323298467,6.83903468110377e-05,2,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00763965725796508,0.084386143270275,"dense_heteroskedastic_RP",60,120,1,0.8,27.5027661286743,5.0631685962165,1.81457351340306,0.831471193797074
"oracle","no_thinning",0.119798626700838,0.000597255941220452,4.02364434367246e-05,2,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00763965725796508,0.084386143270275,"dense_heteroskedastic_RP",60,120,1,0.8,27.5027661286743,5.0631685962165,1.31232820404379,0.579815457663995
"oracle_cp","no_thinning",0.735570765980289,0.0035079594229034,0.000510658672978812,2,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00763965725796508,0.084386143270275,"dense_heteroskedastic_RP",60,120,1,0.8,27.5027661286743,5.0631685962165,8.05777402337515,3.40552342451576
"slice_oracle","no_thinning",0.125711742762956,0.000645172354229561,5.57241805839785e-05,2,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00763965725796508,0.084386143270275,"dense_heteroskedastic_RP",60,120,1,0.8,27.5027661286743,5.0631685962165,1.37710314509116,0.626332662468557
"slice_est","no_thinning",0.125098056833581,0.00064119872227474,5.34331927634485e-05,2,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00763965725796508,0.084386143270275,"dense_heteroskedastic_RP",60,120,1,0.8,27.5027661286743,5.0631685962165,1.37038055255631,0.622475064625721
"histogram","no_thinning",1.5319666132154,0.0083477906172448,0.000445183077887727,3,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00514287920994166,0.0672153864939248,"dense_heteroskedastic_RP",60,120,1,0.8,18.51436515579,4.03292318963549,16.7818534280573,9.87721787017704
"unscaled","no_thinning",0.157117722133403,0.000785886671151624,7.02704684398979e-05,3,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00514287920994166,0.0672153864939248,"dense_heteroskedastic_RP",60,120,1,0.8,18.51436515579,4.03292318963549,1.72113841192587,0.929871654446785
"oracle","no_thinning",0.130194772964168,0.00063782778149585,5.41574500666567e-05,3,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00514287920994166,0.0672153864939248,"dense_heteroskedastic_RP",60,120,1,0.8,18.51436515579,4.03292318963549,1.42621228043477,0.754686389530635
"oracle_cp","no_thinning",0.848771728557119,0.00360593072863274,0.000246274991620681,3,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00514287920994166,0.0672153864939248,"dense_heteroskedastic_RP",60,120,1,0.8,18.51436515579,4.03292318963549,9.29782843806771,4.26658562301448
"slice_oracle","no_thinning",0.127553050241588,0.000619205807074447,5.50542142062266e-05,3,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00514287920994166,0.0672153864939248,"dense_heteroskedastic_RP",60,120,1,0.8,18.51436515579,4.03292318963549,1.39727365791815,0.732652619522905
"slice_est","no_thinning",0.127849510661621,0.000621037938466034,5.61566055508187e-05,3,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00514287920994166,0.0672153864939248,"dense_heteroskedastic_RP",60,120,1,0.8,18.51436515579,4.03292318963549,1.40052121910735,0.734820421969233
"histogram","no_thinning",1.50848308357018,0.00833196858179399,0.000380868766871725,4,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00376417606789417,0.0600141670758463,"dense_heteroskedastic_RP",60,120,1,0.8,13.551033844419,3.60085002455078,16.5246042497268,11.5233540941588
"unscaled","no_thinning",0.156798538726975,0.000750234904594798,4.84157314304207e-05,4,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00376417606789417,0.0600141670758463,"dense_heteroskedastic_RP",60,120,1,0.8,13.551033844419,3.60085002455078,1.71764193289223,1.03759662252374
"oracle","no_thinning",0.127785328128781,0.000626758772751686,3.63499440218943e-05,4,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00376417606789417,0.0600141670758463,"dense_heteroskedastic_RP",60,120,1,0.8,13.551033844419,3.60085002455078,1.39981813468666,0.866825552585442
"oracle_cp","no_thinning",1.0360633130447,0.00417871289801275,0.000216824963048637,4,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00376417606789417,0.0600141670758463,"dense_heteroskedastic_RP",60,120,1,0.8,13.551033844419,3.60085002455078,11.3495049511624,5.77928107972553
"slice_oracle","no_thinning",0.134410244514749,0.000679364103486508,4.16612935922844e-05,4,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00376417606789417,0.0600141670758463,"dense_heteroskedastic_RP",60,120,1,0.8,13.551033844419,3.60085002455078,1.47239045761026,0.939580250031406
"slice_est","no_thinning",0.132721616259855,0.000668307769363449,4.02616451744135e-05,4,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00376417606789417,0.0600141670758463,"dense_heteroskedastic_RP",60,120,1,0.8,13.551033844419,3.60085002455078,1.45389246188134,0.924289019413742
"histogram","no_thinning",1.47669199835155,0.00827783084416888,0.000339935521953433,5,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00522990094062686,0.0880369998053692,"dense_heteroskedastic_RP",60,120,1,0.8,18.8276433862567,5.28221998832215,16.1763503596905,9.71261254332876
"unscaled","no_thinning",0.152783519996329,0.000778671719758991,5.01317882663224e-05,5,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00522990094062686,0.0880369998053692,"dense_heteroskedastic_RP",60,120,1,0.8,18.8276433862567,5.28221998832215,1.67365960634062,0.913637504177085
"oracle","no_thinning",0.150511403839324,0.000749073612702292,4.26074104941067e-05,5,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00522990094062686,0.0880369998053692,"dense_heteroskedastic_RP",60,120,1,0.8,18.8276433862567,5.28221998832215,1.64876982089135,0.878909209860684
"oracle_cp","no_thinning",1.11733727279884,0.00489742451580681,0.000314200041473056,5,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00522990094062686,0.0880369998053692,"dense_heteroskedastic_RP",60,120,1,0.8,18.8276433862567,5.28221998832215,12.2398165730645,5.74628639769056
"slice_oracle","no_thinning",0.12360348233997,0.000624113968963762,3.58728286752958e-05,5,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00522990094062686,0.0880369998053692,"dense_heteroskedastic_RP",60,120,1,0.8,18.8276433862567,5.28221998832215,1.35400830927586,0.732290533297646
"slice_est","no_thinning",0.123068412008614,0.000618621629733125,3.63921071333014e-05,5,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00522990094062686,0.0880369998053692,"dense_heteroskedastic_RP",60,120,1,0.8,18.8276433862567,5.28221998832215,1.34814690746915,0.725846216675583
"histogram","no_thinning",1.55359144308307,0.00831758070756426,0.000321682850885868,6,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00332510192914917,0.0527218821514446,"dense_heteroskedastic_RP",60,120,1,0.8,11.970366944937,3.16331292908668,17.018741570472,12.2394186581603
"unscaled","no_thinning",0.15578240656044,0.000764486053046707,5.36493441620987e-05,6,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00332510192914917,0.0527218821514446,"dense_heteroskedastic_RP",60,120,1,0.8,11.970366944937,3.16331292908668,1.70651076271188,1.12495029390623
"oracle","no_thinning",0.131612471141847,0.000594046653431488,3.45305368962496e-05,6,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00332510192914917,0.0527218821514446,"dense_heteroskedastic_RP",60,120,1,0.8,11.970366944937,3.16331292908668,1.44174238586775,0.87414669595148
"oracle_cp","no_thinning",0.851098716758717,0.00356941974963822,0.000271094881149313,6,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00332510192914917,0.0527218821514446,"dense_heteroskedastic_RP",60,120,1,0.8,11.970366944937,3.16331292908668,9.32331931664899,5.25244349511357
"slice_oracle","no_thinning",0.143049541498303,0.000689121191719329,5.1891028671251e-05,6,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00332510192914917,0.0527218821514446,"dense_heteroskedastic_RP",60,120,1,0.8,11.970366944937,3.16331292908668,1.56702921438784,1.01405000663146
"slice_est","no_thinning",0.142412265806621,0.00068341502970798,5.08404030334859e-05,6,14400,2,"dense_heteroskedastic","balanced","60x60x60",0.00332510192914917,0.0527218821514446,"dense_heteroskedastic_RP",60,120,1,0.8,11.970366944937,3.16331292908668,1.56004820895416,1.00565332155635
