"method","p_scalar","R","n_rep","metric","mean","sd","se"
"histogram",60,2,30,"normalized_fro",9.55045329084295,1.63143337846578,0.297857620817523
"histogram",60,4,30,"normalized_fro",8.59320905315457,0.840305456681511,0.153418084606381
"histogram",60,6,30,"normalized_fro",8.27291040812166,0.709208001416745,0.129483073446369
"histogram",60,8,30,"normalized_fro",7.59718850370944,0.864693118478793,0.157870642103441
"histogram",80,2,30,"normalized_fro",11.8146909523388,1.21368793189046,0.221588086022733
"histogram",80,4,30,"normalized_fro",11.0460797898568,1.10288895482285,0.201359052993256
"histogram",80,6,30,"normalized_fro",10.4795167911959,0.996405392002388,0.181917903206495
"histogram",80,8,30,"normalized_fro",9.92836282705986,0.914658341426044,0.166993002003102
"histogram",100,2,30,"normalized_fro",14.6976594237886,1.96986311414051,0.359646154270711
"histogram",100,4,30,"normalized_fro",13.145244964659,1.39241969174825,0.254219891561636
"histogram",100,6,30,"normalized_fro",12.3265803429145,1.25335719077695,0.228830668666614
"histogram",100,8,30,"normalized_fro",11.6943262973506,1.22511921237187,0.223675142749679
"histogram",120,2,30,"normalized_fro",17.3423217328731,2.27984912626558,0.4162415980547
"histogram",120,4,30,"normalized_fro",15.5658061772103,1.80562615772429,0.329660725668991
"histogram",120,6,30,"normalized_fro",14.0981520145073,1.30720412151107,0.238661728205113
"histogram",120,8,30,"normalized_fro",13.8779925744016,1.2046906373246,0.219945412292653
"oracle",60,2,30,"normalized_fro",0.757207049503351,0.274235267092078,0.0500682806165951
"oracle",60,4,30,"normalized_fro",0.790102255785876,0.0625514653554172,0.011420282860055
"oracle",60,6,30,"normalized_fro",0.899296136774523,0.0732671487508105,0.0133766900316351
"oracle",60,8,30,"normalized_fro",1.01568636028637,0.109047868708648,0.0199093258465294
"oracle",80,2,30,"normalized_fro",0.678644681901936,0.0578263006171001,0.0105575897550202
"oracle",80,4,30,"normalized_fro",0.77339940289486,0.0708245685200482,0.0129307379346669
"oracle",80,6,30,"normalized_fro",0.865500928158708,0.0752517791668849,0.0137390323140334
"oracle",80,8,30,"normalized_fro",0.962785467748569,0.0837359314984741,0.0152880195184739
"oracle",100,2,30,"normalized_fro",0.729549272738784,0.352718015745192,0.0643972045540346
"oracle",100,4,30,"normalized_fro",0.735697743053985,0.0703084422286144,0.0128365065972203
"oracle",100,6,30,"normalized_fro",0.819261836502069,0.0822041709554904,0.0150083595844444
"oracle",100,8,30,"normalized_fro",0.903078469474727,0.0880418717910091,0.0160741730616378
"oracle",120,2,30,"normalized_fro",0.790937122751458,0.462401566413078,0.084422589516722
"oracle",120,4,30,"normalized_fro",0.733114073659821,0.0801033624195128,0.0146248061763929
"oracle",120,6,30,"normalized_fro",0.78843490280597,0.0674417983884137,0.0123131314320166
"oracle",120,8,30,"normalized_fro",0.89643270135197,0.0751894641931695,0.013727655208442
"oracle_cp",60,2,30,"normalized_fro",35.4549475122236,172.835146980824,31.5552362437061
"oracle_cp",60,4,30,"normalized_fro",18.4723604824915,83.6068260545329,15.2644481971594
"oracle_cp",60,6,30,"normalized_fro",3.26604442560764,0.834330589127445,0.152327228027225
"oracle_cp",60,8,30,"normalized_fro",2.77421371156094,0.618792903401132,0.112975610538972
"oracle_cp",80,2,30,"normalized_fro",139.662500361239,413.853051572065,75.558883946123
"oracle_cp",80,4,30,"normalized_fro",10.6953001830553,37.2189561318565,6.79522061340435
"oracle_cp",80,6,30,"normalized_fro",3.0106613229985,0.715561694796551,0.130643093842233
"oracle_cp",80,8,30,"normalized_fro",2.57683263195239,0.444916614814409,0.0812302887142296
"oracle_cp",100,2,30,"normalized_fro",4.82271774419651,5.57964214033689,1.01869862102297
"oracle_cp",100,4,30,"normalized_fro",8.69349747267282,27.8194543229498,5.07911422338807
"oracle_cp",100,6,30,"normalized_fro",3.29613066166398,0.923676945933132,0.168639566378352
"oracle_cp",100,8,30,"normalized_fro",2.88105281019864,0.678309583330041,0.123841819920598
"oracle_cp",120,2,30,"normalized_fro",121.297500959561,543.206003158675,99.1753937674097
"oracle_cp",120,4,30,"normalized_fro",3.87664361202913,1.07953457422245,0.197095145969457
"oracle_cp",120,6,30,"normalized_fro",3.08157044629217,0.85701515519692,0.156468844208381
"oracle_cp",120,8,30,"normalized_fro",2.63423028496965,0.495456836500004,0.0904576285404003
"slice_est",60,2,30,"normalized_fro",0.737750204485781,0.115681318621535,0.0211204225636523
"slice_est",60,4,30,"normalized_fro",0.807733868037604,0.0642718723601079,0.0117343847682413
"slice_est",60,6,30,"normalized_fro",0.887819248196814,0.0719569417181669,0.0131374800493749
"slice_est",60,8,30,"normalized_fro",0.97722493492134,0.105112494079831,0.0191908280277172
"slice_est",80,2,30,"normalized_fro",0.707297073582399,0.0619157726163812,0.0113042217757842
"slice_est",80,4,30,"normalized_fro",0.78474941533217,0.0743012508546708,0.0135654903813177
"slice_est",80,6,30,"normalized_fro",0.856346624763873,0.072132361840058,0.0131695072353082
"slice_est",80,8,30,"normalized_fro",0.925422484077994,0.074643972863227,0.0136280625729976
"slice_est",100,2,30,"normalized_fro",0.688847011210157,0.0678532942343334,0.0123882599510599
"slice_est",100,4,30,"normalized_fro",0.756949064506626,0.0779450805978687,0.0142307596300037
"slice_est",100,6,30,"normalized_fro",0.802845880267232,0.076141667429549,0.0139015029390735
"slice_est",100,8,30,"normalized_fro",0.86304672313976,0.0780811784937037,0.0142556075925296
"slice_est",120,2,30,"normalized_fro",0.682262137802848,0.0727806914929917,0.0132878754938453
"slice_est",120,4,30,"normalized_fro",0.745830066136396,0.0872771771907962,0.0159345595675915
"slice_est",120,6,30,"normalized_fro",0.778013796773181,0.068062750139726,0.0124265011924553
"slice_est",120,8,30,"normalized_fro",0.856987005107282,0.0708918090716499,0.0129430143236307
"slice_oracle",60,2,30,"normalized_fro",0.741973213595538,0.117718107176877,0.0214922875758622
"slice_oracle",60,4,30,"normalized_fro",0.810553491928825,0.0645919374698897,0.0117928203950739
"slice_oracle",60,6,30,"normalized_fro",0.889039765979817,0.0722940301651958,0.0131990236981455
"slice_oracle",60,8,30,"normalized_fro",0.979964607361761,0.10472880384902,0.019120776096214
"slice_oracle",80,2,30,"normalized_fro",0.712351729148678,0.0623314613880489,0.0113801158148322
"slice_oracle",80,4,30,"normalized_fro",0.787014074792589,0.0750291969760779,0.0136983945517654
"slice_oracle",80,6,30,"normalized_fro",0.858088882463515,0.0723576377651094,0.0132106368039127
"slice_oracle",80,8,30,"normalized_fro",0.927449810936065,0.0746515119324717,0.0136294390124269
"slice_oracle",100,2,30,"normalized_fro",0.693332620850534,0.0680702377641553,0.0124278682393893
"slice_oracle",100,4,30,"normalized_fro",0.759656614612901,0.0787051398084043,0.0143695268215536
"slice_oracle",100,6,30,"normalized_fro",0.80434001201387,0.0760319434361411,0.0138814701703104
"slice_oracle",100,8,30,"normalized_fro",0.864732915068298,0.0782734608542409,0.0142907133879551
"slice_oracle",120,2,30,"normalized_fro",0.688324882836282,0.0734718097988156,0.0134140558558468
"slice_oracle",120,4,30,"normalized_fro",0.748160523862498,0.0876670293635969,0.0160057365106366
"slice_oracle",120,6,30,"normalized_fro",0.779746035523455,0.0681981366888419,0.0124512192814331
"slice_oracle",120,8,30,"normalized_fro",0.858404570267381,0.071307164341515,0.0130188474738586
"unscaled",60,2,30,"normalized_fro",0.912264011518191,0.102801002364218,0.0187688093096748
"unscaled",60,4,30,"normalized_fro",0.917143282889141,0.0625914834867507,0.0114275891378018
"unscaled",60,6,30,"normalized_fro",1.01699095258401,0.0789808503821211,0.0144198644550761
"unscaled",60,8,30,"normalized_fro",1.14982428815231,0.0978553319738404,0.017865857564743
"unscaled",80,2,30,"normalized_fro",0.906585945006209,0.0831436287111807,0.015179880319316
"unscaled",80,4,30,"normalized_fro",0.892790509044339,0.0835756014898162,0.0152587473976782
"unscaled",80,6,30,"normalized_fro",0.949386015968108,0.0728771148505912,0.0133054799098545
"unscaled",80,8,30,"normalized_fro",1.05276995031661,0.0752364560577562,0.0137362347098598
"unscaled",100,2,30,"normalized_fro",0.864285706014081,0.0642428416559774,0.0117290845110705
"unscaled",100,4,30,"normalized_fro",0.867753077925887,0.0869297262706784,0.0158711239987333
"unscaled",100,6,30,"normalized_fro",0.898636131102785,0.0779202464488128,0.0142262255554589
"unscaled",100,8,30,"normalized_fro",0.945185756529243,0.0662834975679556,0.0121016556027694
"unscaled",120,2,30,"normalized_fro",0.853732647433385,0.0778815530722058,0.0142191611437276
"unscaled",120,4,30,"normalized_fro",0.863732485242225,0.0873088164974366,0.0159403360882417
"unscaled",120,6,30,"normalized_fro",0.8715183279829,0.0716167421359873,0.013075368387637
"unscaled",120,8,30,"normalized_fro",0.933677375000513,0.0715724072302976,0.0130672739783266
