"method","p_scalar","R","n_rep","metric","mean","sd","se"
"histogram",60,2,30,"normalized_l1",16.5046709900952,0.398240040330361,0.0727083511302352
"histogram",60,4,30,"normalized_l1",15.5887136235683,0.284971691248768,0.0520284745157826
"histogram",60,6,30,"normalized_l1",14.8646762090129,0.173053978726991,0.0315951892715974
"histogram",60,8,30,"normalized_l1",13.9399402854785,0.170515484592753,0.0311317257717917
"histogram",80,2,30,"normalized_l1",18.1776844563777,0.25931978803274,0.0473450991709966
"histogram",80,4,30,"normalized_l1",17.6784253204292,0.20987695222065,0.0383181136772279
"histogram",80,6,30,"normalized_l1",17.0548126715225,0.168474678218597,0.0307591272095834
"histogram",80,8,30,"normalized_l1",16.5068958569907,0.129287173689254,0.0236045004752309
"histogram",100,2,30,"normalized_l1",19.3714152655318,0.267509386972268,0.0488403085296965
"histogram",100,4,30,"normalized_l1",18.9205640118407,0.150390581500123,0.0274574379746454
"histogram",100,6,30,"normalized_l1",18.4962000888005,0.117802762270664,0.0215077434106871
"histogram",100,8,30,"normalized_l1",18.0721796459327,0.11728402349885,0.0214130351017621
"histogram",120,2,30,"normalized_l1",20.0240803068103,0.181300851634957,0.0331008553784545
"histogram",120,4,30,"normalized_l1",19.7107576593633,0.118224873900825,0.0215848100978952
"histogram",120,6,30,"normalized_l1",19.3772932046314,0.0984014410821031,0.0179655629905612
"histogram",120,8,30,"normalized_l1",19.0783845676258,0.0842758139409525,0.015386588115856
"oracle",60,2,30,"normalized_l1",1.46489948586183,0.457025377460839,0.0834410361958716
"oracle",60,4,30,"normalized_l1",1.49372759263154,0.0420394445710184,0.00767531736551163
"oracle",60,6,30,"normalized_l1",1.62170127435021,0.0257436302444103,0.00470012233231192
"oracle",60,8,30,"normalized_l1",1.80960681317077,0.0537277851935298,0.00980930663842945
"oracle",80,2,30,"normalized_l1",1.40132750677659,0.0489514144513298,0.0089372646389259
"oracle",80,4,30,"normalized_l1",1.51773569860822,0.0477154823011005,0.00871161533285041
"oracle",80,6,30,"normalized_l1",1.60649556799078,0.0394121305105937,0.00719563763999658
"oracle",80,8,30,"normalized_l1",1.74611962813178,0.0377841742433628,0.00689841484993183
"oracle",100,2,30,"normalized_l1",1.51182006132491,0.545146976002106,0.099529765304027
"oracle",100,4,30,"normalized_l1",1.51098046837046,0.0380814578800506,0.0069526911678622
"oracle",100,6,30,"normalized_l1",1.61838008372654,0.0336462895662263,0.00614294392392428
"oracle",100,8,30,"normalized_l1",1.73187100584581,0.0384821898799474,0.0070258544864814
"oracle",120,2,30,"normalized_l1",1.63996820780351,0.798122309330884,0.14571653082288
"oracle",120,4,30,"normalized_l1",1.5186820800422,0.0278566537880451,0.00508590588544135
"oracle",120,6,30,"normalized_l1",1.62274760926879,0.0318279363606795,0.00581095956786101
"oracle",120,8,30,"normalized_l1",1.73201469973226,0.0359287154790761,0.00655965597669167
